ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,total,urban,rural,pop_density
VNM.19.2.11_1,ĐàNẵng,HảiChâu,ThạchThang,ThànhPhố,Quận,Phường,1017927.1758831594,14231,14231.0,,13980.0
VNM.19.1.2_1,ĐàNẵng,CẩmLệ,HòaPhát,ThànhPhố,Quận,Phường,6026894.696069795,19058,19058.0,,3162.0
VNM.19.3.6_1,ĐàNẵng,HòaVang,HòaNinh,ThànhPhố,Huyện,Xã,103927341.13727374,5567,,5567.0,54.0
VNM.19.3.2_1,ĐàNẵng,HòaVang,HòaChâu,ThànhPhố,Huyện,Xã,10485542.251573324,19230,,19230.0,1834.0
VNM.19.3.3_1,ĐàNẵng,HòaVang,HòaKhương,ThànhPhố,Huyện,Xã,51430181.42579448,13163,,13163.0,256.0
VNM.47.15.9_1,QuảngNam,TamKỳ,TamPhú,Tỉnh,ThànhPhố,Xã,18174256.821587052,9301,,9301.0,512.0
VNM.47.6.9_1,QuảngNam,HộiAn,MinhAn,Tỉnh,ThànhPhố,Phường,695498.1670029606,5309,5309.0,,7633.0
VNM.47.4.9_1,QuảngNam,ĐôngGiang,TàLu,Tỉnh,Huyện,Xã,82851838.50656042,1013,,1013.0,12.0
VNM.47.2.16_1,QuảngNam,ĐạiLộc,ĐạiTân,Tỉnh,Huyện,Xã,13608483.918489298,6025,,6025.0,443.0
VNM.47.14.7_1,QuảngNam,QuếSơn,QuếHiệp,Tỉnh,Huyện,Xã,40137119.56267402,3971,,3971.0,99.0
VNM.47.14.10_1,QuảngNam,QuếSơn,QuếPhong,Tỉnh,Huyện,Xã,31214276.62267746,4934,,4934.0,158.0
VNM.47.17.5_1,QuảngNam,ThăngBình,BìnhĐào,Tỉnh,Huyện,Xã,12224560.79905148,7239,,7239.0,592.0
VNM.47.1.1_1,QuảngNam,BắcTràMy,TràBui,Tỉnh,Huyện,Xã,179707476.17269665,6160,,6160.0,34.0
VNM.47.9.7_1,QuảngNam,NamTràMy,TràNam,Tỉnh,Huyện,Xã,94663958.69037744,3326,,3326.0,35.0
VNM.47.11.1_1,QuảngNam,NúiThành,NúiThành,Tỉnh,Huyện,ThịTrấn,5075911.570235999,12902,12902.0,,2542.0
VNM.47.11.7_1,QuảngNam,NúiThành,TamHòa,Tỉnh,Huyện,Xã,23933365.88488706,9028,,9028.0,377.0
VNM.47.11.9_1,QuảngNam,NúiThành,TamMỹTây,Tỉnh,Huyện,Xã,51804487.83758313,5492,,5492.0,106.0
VNM.47.12.8_1,QuảngNam,PhúNinh,TamPhước,Tỉnh,Huyện,Xã,14984812.780909726,7319,,7319.0,488.0
VNM.47.10.7_1,QuảngNam,NôngSơn,SơnViên,Tỉnh,Huyện,Xã,28160104.732120138,2734,,2734.0,97.0
